model,is_correct,n_reasoning_tokens
llama-3.1-8b,0,112
llama-3.1-8b,0,107
llama-3.1-8b,0,117
llama-3.1-8b,0,101
llama-3.1-8b,0,79
llama-3.1-8b,0,119
llama-3.1-8b,1,80
llama-3.1-8b,0,113
llama-3.1-8b,0,115
llama-3.1-8b,0,88
llama-3.1-8b,0,112
llama-3.1-8b,0,103
llama-3.1-8b,0,95
llama-3.1-8b,0,125
llama-3.1-8b,0,72
llama-3.1-8b,0,57
llama-3.1-8b,0,162
llama-3.1-8b,0,101
llama-3.1-8b,0,89
llama-3.1-8b,0,89
llama-3.1-8b,0,91
llama-3.1-8b,0,85
llama-3.1-8b,1,89
llama-3.1-8b,0,114
llama-3.1-8b,0,105
llama-3.1-8b,0,102
llama-3.1-8b,0,115
llama-3.1-8b,0,114
llama-3.1-8b,0,90
llama-3.1-8b,0,81
llama-3.1-8b,0,99
llama-3.1-8b,0,79
llama-3.1-8b,0,81
llama-3.1-8b,0,97
llama-3.1-8b,1,85
llama-3.1-8b,0,83
llama-3.1-8b,0,103
llama-3.1-8b,0,123
llama-3.1-8b,0,119
llama-3.1-8b,0,88
llama-3.1-8b,0,87
llama-3.1-8b,0,86
llama-3.1-8b,0,85
llama-3.1-8b,0,78
llama-3.1-8b,0,98
llama-3.1-8b,0,88
llama-3.1-8b,0,94
llama-3.1-8b,0,70
llama-3.1-8b,0,71
llama-3.1-8b,0,96
llama-3.1-8b,0,95
llama-3.1-8b,0,81
llama-3.1-8b,1,85
llama-3.1-8b,0,82
llama-3.1-8b,0,97
llama-3.1-8b,0,81
llama-3.1-8b,0,92
llama-3.1-8b,0,78
llama-3.1-8b,0,93
llama-3.1-8b,0,99
llama-3.1-8b,0,94
llama-3.1-8b,0,81
llama-3.1-8b,0,81
llama-3.1-8b,0,92
llama-3.1-8b,1,91
llama-3.1-70b,0,163
llama-3.1-70b,1,63
llama-3.1-70b,1,55
llama-3.1-70b,1,62
llama-3.1-70b,0,58
llama-3.1-70b,0,69
llama-3.1-70b,1,57
llama-3.1-70b,0,71
llama-3.1-70b,0,64
llama-3.1-70b,0,87
llama-3.1-70b,1,74
llama-3.1-70b,0,76
llama-3.1-70b,0,68
llama-3.1-70b,1,118
llama-3.1-70b,0,68
llama-3.1-70b,1,59
llama-3.1-70b,1,74
llama-3.1-70b,0,72
llama-3.1-70b,1,50
llama-3.1-70b,0,61
llama-3.1-70b,1,52
llama-3.1-70b,1,63
llama-3.1-70b,0,70
llama-3.1-70b,0,53
llama-3.1-70b,1,58
llama-3.1-70b,1,58
llama-3.1-70b,1,78
llama-3.1-70b,0,81
llama-3.1-70b,1,58
llama-3.1-70b,0,69
llama-3.1-70b,0,76
llama-3.1-70b,1,61
llama-3.1-70b,0,126
llama-3.1-70b,0,82
llama-3.1-70b,0,70
llama-3.1-70b,0,90
llama-3.1-70b,0,68
llama-3.1-70b,0,99
llama-3.1-70b,0,70
llama-3.1-70b,0,83
llama-3.1-70b,0,91
llama-3.1-70b,0,76
llama-3.1-70b,0,79
llama-3.1-70b,0,111
llama-3.1-70b,0,79
llama-3.1-70b,0,78
llama-3.1-70b,0,187
llama-3.1-70b,1,86
llama-3.1-70b,1,73
llama-3.1-70b,0,63
llama-3.1-70b,1,51
llama-3.1-70b,0,78
llama-3.1-70b,0,102
llama-3.1-70b,1,83
llama-3.1-70b,1,76
llama-3.1-70b,1,72
llama-3.1-70b,1,76
llama-3.1-70b,0,64
llama-3.1-70b,1,60
llama-3.1-70b,0,72
llama-3.1-70b,0,57
llama-3.1-70b,1,85
llama-3.1-70b,1,66
llama-3.1-70b,0,72
llama-3.1-70b,0,62
llama-3.1-70b,0,94
llama-3.1-70b,0,106
llama-3.1-70b,0,70
llama-3.1-70b,0,95
llama-3.1-70b,0,98
llama-3.1-70b,0,72
llama-3.1-70b,1,79
llama-3.1-70b,0,91
llama-3.1-70b,0,68
llama-3.1-70b,0,88
llama-3.1-70b,0,73
llama-3.1-70b,1,83
llama-3.1-70b,0,44
llama-3.1-70b,1,47
llama-3.1-70b,0,39
llama-3.1-70b,0,53
llama-3.1-70b,0,36
llama-3.1-70b,1,51
llama-3.1-70b,0,52
llama-3.1-70b,0,49
llama-3.1-70b,0,112
llama-3.1-70b,0,67
llama-3.1-70b,0,108
llama-3.1-70b,0,49
llama-3.1-70b,0,48
llama-3.1-70b,0,74
llama-3.1-70b,1,40
llama-3.1-70b,0,54
llama-3.1-70b,0,41
llama-3.1-70b,1,54
llama-3.1-70b,0,67
llama-3.1-70b,0,66
llama-3.1-70b,0,52
llama-3.1-70b,0,58
llama-3.1-70b,0,84
llama-3.1-70b,1,73
llama-3.1-70b,1,75
llama-3.1-70b,1,46
llama-3.1-70b,1,69
llama-3.1-70b,0,50
llama-3.1-70b,1,64
llama-3.1-70b,0,49
llama-3.1-70b,0,40
llama-3.1-70b,0,65
llama-3.1-70b,0,50
llama-3.1-70b,1,59
llama-3.1-70b,0,58
llama-3.1-70b,0,47
llama-3.1-70b,0,63
llama-3.1-70b,1,50
llama-3.1-70b,0,45
llama-3.1-70b,0,139
llama-3.1-70b,1,46
llama-3.1-70b,0,68
llama-3.1-70b,1,82
llama-3.1-70b,1,52
llama-3.1-70b,0,93
llama-3.1-70b,1,60
llama-3.1-70b,1,65
llama-3.1-70b,1,57
llama-3.1-70b,1,48
llama-3.1-70b,0,57
llama-3.1-70b,0,58
llama-3.1-70b,1,51
llama-3.1-70b,0,56
llama-3.1-70b,0,73
llama-3.1-70b,0,75
llama-3.1-70b,1,55
llama-3.1-70b,1,56
llama-3.1-70b,0,95
llama-3.1-70b,1,45
llama-3.1-70b,0,62
llama-3.1-70b,0,57
llama-3.1-70b,0,158
llama-3.1-70b,0,47
llama-3.1-70b,0,49
llama-3.1-70b,0,94
llama-3.1-70b,0,35
llama-3.1-70b,0,49
llama-3.1-70b,0,53
llama-3.1-70b,0,53
llama-3.1-70b,0,65
llama-3.1-70b,0,53
llama-3.1-70b,0,56
llama-3.1-70b,0,49
llama-3.1-70b,0,63
llama-3.1-70b,0,63
llama-3.1-70b,0,44
llama-3.1-70b,0,51
llama-3.1-70b,1,51
llama-3.1-70b,0,51
llama-3.1-70b,0,51
llama-3.1-70b,0,69
llama-3.1-70b,0,48
llama-3.1-70b,0,50
llama-3.1-70b,0,55
llama-3.1-70b,0,55
llama-3.1-70b,0,55
llama-3.1-70b,0,55
llama-3.1-70b,0,55
llama-3.1-70b,0,49
llama-3.1-70b,0,49
llama-3.1-70b,0,49
llama-3.1-70b,0,47
llama-3.1-70b,0,47
llama-3.1-70b,0,57
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,72
llama-3.1-70b,0,72
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,0,77
llama-3.1-70b,1,78
llama-3.1-70b,0,84
llama-3.1-70b,0,84
llama-3.1-70b,0,92
llama-3.1-70b,0,73
llama-3.1-70b,1,94
llama-3.1-70b,0,74
llama-3.1-70b,0,98
llama-3.1-70b,1,94
llama-3.1-70b,0,81
llama-3.1-70b,0,84
llama-3.1-70b,0,89
llama-3.1-70b,0,86
llama-3.1-70b,0,79
llama-3.1-70b,0,69
llama-3.1-70b,0,88
llama-3.1-70b,0,82
llama-3.1-70b,0,80
llama-3.1-70b,0,76
llama-3.1-70b,0,87
llama-3.1-70b,0,83
llama-3.1-70b,0,96
llama-3.1-70b,0,82
llama-3.1-70b,0,101
llama-3.1-70b,0,68
llama-3.1-70b,1,155
llama-3.1-70b,0,56
llama-3.1-70b,0,72
llama-3.1-70b,0,73
llama-3.1-70b,0,78
llama-3.1-70b,0,70
llama-3.1-70b,0,81
llama-3.1-70b,0,104
llama-3.1-70b,0,73
llama-3.1-70b,0,114
llama-3.1-70b,0,160
llama-3.1-70b,0,75
llama-3.1-70b,0,87
llama-3.1-70b,1,74
llama-3.1-70b,0,56
llama-3.1-70b,0,103
llama-3.1-70b,0,103
llama-3.1-70b,1,92
llama-3.1-70b,0,102
llama-3.1-70b,0,102
llama-3.1-70b,0,94
llama-3.1-70b,1,81
llama-3.1-70b,0,66
llama-3.1-70b,0,104
llama-3.1-70b,0,93
llama-3.1-70b,1,89
llama-3.1-70b,0,106
llama-3.1-70b,1,99
llama-3.1-70b,0,118
llama-3.1-70b,0,99
llama-3.1-70b,0,101
llama-3.1-70b,0,101
llama-3.1-70b,0,106
llama-3.1-70b,1,71
llama-3.1-70b,0,77
llama-3.1-70b,0,97
llama-3.1-70b,1,76
llama-3.1-70b,0,104
llama-3.1-70b,0,93
llama-3.1-70b,1,82
llama-3.1-70b,0,87
llama-3.1-70b,0,80
llama-3.1-70b,0,100
llama-3.1-70b,1,74
llama-3.1-70b,0,90
llama-3.1-70b,1,88
llama-3.1-70b,0,88
llama-3.1-70b,1,57
llama-3.1-70b,0,70
llama-3.1-70b,0,65
llama-3.1-70b,0,87
llama-3.1-70b,1,85
